Forecasting Horizon,Flu Season,Period,MAE
7,2014-2015,2014-09-01 - 2014-12-01,1.3120557329411764
7,2014-2015,2014-12-02 - 2015-01-20,2.4862327700000004
7,2014-2015,2015-01-21 - 2015-08-31,0.9732612686098655
7,2015-2016,2015-09-01 - 2015-12-30,1.205389273553719
7,2015-2016,2015-12-31 - 2016-03-24,4.5913142541176475
7,2015-2016,2016-03-25 - 2016-08-31,0.842364628
7,2016-2017,2016-09-01 - 2016-12-01,0.8894491315217392
7,2016-2017,2016-12-02 - 2017-01-30,1.665063386666667
7,2016-2017,2017-01-31 - 2017-08-31,1.0892502492957745
7,2017-2018,2017-09-01 - 2017-12-30,1.8420341834710743
7,2017-2018,2017-12-31 - 2018-02-08,8.361160875
7,2017-2018,2018-02-09 - 2018-08-31,1.2857376147058823
7,2018-2019,2018-09-01 - 2018-12-28,0.6553160453781511
7,2018-2019,2018-12-29 - 2019-02-18,2.3861445384615383
7,2018-2019,2019-02-19 - 2019-08-31,1.6193595319587626
14,2014-2015,2014-09-01 - 2014-12-01,1.5245023948717946
14,2014-2015,2014-12-02 - 2015-01-20,4.3280267299999995
14,2014-2015,2015-01-21 - 2015-08-31,1.0346308
14,2015-2016,2015-09-01 - 2015-12-30,0.9594095694214876
14,2015-2016,2015-12-31 - 2016-03-24,5.955451003529412
14,2015-2016,2016-03-25 - 2016-08-31,1.020481368625
14,2016-2017,2016-09-01 - 2016-12-01,1.284358141304348
14,2016-2017,2016-12-02 - 2017-01-30,2.1468841216666665
14,2016-2017,2017-01-31 - 2017-08-31,1.647460080751174
14,2017-2018,2017-09-01 - 2017-12-30,2.3387596644628106
14,2017-2018,2017-12-31 - 2018-02-08,11.975853525
14,2017-2018,2018-02-09 - 2018-08-31,1.536231787745098
14,2018-2019,2018-09-01 - 2018-12-28,0.9853213663865547
14,2018-2019,2018-12-29 - 2019-02-18,2.4447646923076922
14,2018-2019,2019-02-19 - 2019-08-31,2.1928712335051546
21,2014-2015,2014-09-01 - 2014-12-01,1.5027554746478873
21,2014-2015,2014-12-02 - 2015-01-20,6.5888390900000005
21,2014-2015,2015-01-21 - 2015-08-31,1.432948062780269
21,2015-2016,2015-09-01 - 2015-12-30,1.0096690504132233
21,2015-2016,2015-12-31 - 2016-03-24,7.265385902352939
21,2015-2016,2016-03-25 - 2016-08-31,1.3058849177499998
21,2016-2017,2016-09-01 - 2016-12-01,1.3583777097826086
21,2016-2017,2016-12-02 - 2017-01-30,1.9620785633333333
21,2016-2017,2017-01-31 - 2017-08-31,2.4692439455399064
21,2017-2018,2017-09-01 - 2017-12-30,2.307317641322314
21,2017-2018,2017-12-31 - 2018-02-08,16.9485267
21,2017-2018,2018-02-09 - 2018-08-31,1.0344160455882354
21,2018-2019,2018-09-01 - 2018-12-28,0.9549417571428571
21,2018-2019,2018-12-29 - 2019-02-18,2.153462615384616
21,2018-2019,2019-02-19 - 2019-08-31,2.0849397850515463
28,2014-2015,2014-09-01 - 2014-12-01,1.7344281734375002
28,2014-2015,2014-12-02 - 2015-01-20,6.566949510000001
28,2014-2015,2015-01-21 - 2015-08-31,1.7671037825112108
28,2015-2016,2015-09-01 - 2015-12-30,1.0466470685950413
28,2015-2016,2015-12-31 - 2016-03-24,8.054224671764706
28,2015-2016,2016-03-25 - 2016-08-31,1.2886607875
28,2016-2017,2016-09-01 - 2016-12-01,1.1546073250000002
28,2016-2017,2016-12-02 - 2017-01-30,1.9707775833333334
28,2016-2017,2017-01-31 - 2017-08-31,3.276978720187793
28,2017-2018,2017-09-01 - 2017-12-30,2.2629237619834712
28,2017-2018,2017-12-31 - 2018-02-08,20.7792771125
28,2017-2018,2018-02-09 - 2018-08-31,1.4637163617647058
28,2018-2019,2018-09-01 - 2018-12-28,1.0582680462184875
28,2018-2019,2018-12-29 - 2019-02-18,2.583098048076924
28,2018-2019,2019-02-19 - 2019-08-31,1.9001934536082472
