Forecasting Horizon,Flu Season,Period,MAE
7,2014-2015,2014-09-01 - 2014-12-01,0.5423047058823529
7,2014-2015,2014-12-02 - 2015-01-20,3.547353714285714
7,2014-2015,2015-01-21 - 2015-08-31,0.7196864189622036
7,2015-2016,2015-09-01 - 2015-12-30,0.5270448642266824
7,2015-2016,2015-12-31 - 2016-03-24,1.6512070588235293
7,2015-2016,2016-03-25 - 2016-08-31,0.9192623214285713
7,2016-2017,2016-09-01 - 2016-12-01,0.5775406832298138
7,2016-2017,2016-12-02 - 2017-01-30,1.3539321428571423
7,2016-2017,2017-01-31 - 2017-08-31,0.6222376257545271
7,2017-2018,2017-09-01 - 2017-12-30,1.2058354191263283
7,2017-2018,2017-12-31 - 2018-02-08,9.527440714285714
7,2017-2018,2018-02-09 - 2018-08-31,1.2275077030812325
7,2018-2019,2018-09-01 - 2018-12-28,0.5356357743097239
7,2018-2019,2018-12-29 - 2019-02-18,2.6209884615384618
7,2018-2019,2019-02-19 - 2019-08-31,0.7650970544918998
14,2014-2015,2014-09-01 - 2014-12-01,0.9022584249084247
14,2014-2015,2014-12-02 - 2015-01-20,4.461780571428571
14,2014-2015,2015-01-21 - 2015-08-31,1.326526201153107
14,2015-2016,2015-09-01 - 2015-12-30,0.9003726092089728
14,2015-2016,2015-12-31 - 2016-03-24,2.6467136134453786
14,2015-2016,2016-03-25 - 2016-08-31,1.8099061607142857
14,2016-2017,2016-09-01 - 2016-12-01,0.8984635093167705
14,2016-2017,2016-12-02 - 2017-01-30,2.2941949999999993
14,2016-2017,2017-01-31 - 2017-08-31,1.071157679409792
14,2017-2018,2017-09-01 - 2017-12-30,2.0528887839433296
14,2017-2018,2017-12-31 - 2018-02-08,17.350366428571427
14,2017-2018,2018-02-09 - 2018-08-31,2.6161060224089634
14,2018-2019,2018-09-01 - 2018-12-28,0.9456181272509003
14,2018-2019,2018-12-29 - 2019-02-18,4.01840989010989
14,2018-2019,2019-02-19 - 2019-08-31,1.5482828424153168
21,2014-2015,2014-09-01 - 2014-12-01,1.1727281690140845
21,2014-2015,2014-12-02 - 2015-01-20,5.306723142857144
21,2014-2015,2015-01-21 - 2015-08-31,1.8736411274823832
21,2015-2016,2015-09-01 - 2015-12-30,1.149900826446281
21,2015-2016,2015-12-31 - 2016-03-24,3.5142302521008406
21,2015-2016,2016-03-25 - 2016-08-31,2.548093392857143
21,2016-2017,2016-09-01 - 2016-12-01,1.217090062111801
21,2016-2017,2016-12-02 - 2017-01-30,3.032895476190476
21,2016-2017,2017-01-31 - 2017-08-31,1.5104115358819585
21,2017-2018,2017-09-01 - 2017-12-30,2.561132467532468
21,2017-2018,2017-12-31 - 2018-02-08,23.398450714285712
21,2017-2018,2018-02-09 - 2018-08-31,4.302643277310924
21,2018-2019,2018-09-01 - 2018-12-28,1.280766026410564
21,2018-2019,2018-12-29 - 2019-02-18,5.639506593406594
21,2018-2019,2019-02-19 - 2019-08-31,2.2730497054491896
28,2014-2015,2014-09-01 - 2014-12-01,1.3194392857142856
28,2014-2015,2014-12-02 - 2015-01-20,6.7365705714285715
28,2014-2015,2015-01-21 - 2015-08-31,2.130681934657271
28,2015-2016,2015-09-01 - 2015-12-30,1.3905495867768596
28,2015-2016,2015-12-31 - 2016-03-24,4.184573109243698
28,2015-2016,2016-03-25 - 2016-08-31,3.2516084821428572
28,2016-2017,2016-09-01 - 2016-12-01,1.4788141304347824
28,2016-2017,2016-12-02 - 2017-01-30,3.9045611904761897
28,2016-2017,2017-01-31 - 2017-08-31,1.9545047619047617
28,2017-2018,2017-09-01 - 2017-12-30,2.8599288075560807
28,2017-2018,2017-12-31 - 2018-02-08,27.071650357142858
28,2017-2018,2018-02-09 - 2018-08-31,6.077988375350139
28,2018-2019,2018-09-01 - 2018-12-28,1.5881139255702281
28,2018-2019,2018-12-29 - 2019-02-18,7.297985164835165
28,2018-2019,2019-02-19 - 2019-08-31,2.9384411634756993
