Flu Season,Period,MAE
2014-2015,2014-09-01 - 2014-12-01,1.16546
2014-2015,2014-12-02 - 2015-01-20,2.53449
2014-2015,2015-01-21 - 2015-08-31,1.02885
2015-2016,2015-09-01 - 2015-12-30,1.66053
2015-2016,2015-12-31 - 2016-03-24,2.5813
2015-2016,2016-03-25 - 2016-08-31,0.80481
2016-2017,2016-09-01 - 2016-12-01,1.14592
2016-2017,2016-12-02 - 2017-01-30,4.54781
2016-2017,2017-01-31 - 2017-08-31,2.45779
2017-2018,2017-09-01 - 2017-12-30,1.60817
2017-2018,2017-12-31 - 2018-02-08,5.23609
2017-2018,2018-02-09 - 2018-08-31,1.931
2018-2019,2018-09-01 - 2018-12-28,1.27022
2018-2019,2018-12-29 - 2019-02-18,1.6987
2018-2019,2019-02-19 - 2019-08-31,1.58642
