,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019
0,flu symptoms in adults (1.15),flu in adults (1.07),flu in adults (1.44),flu symptoms (3.49),flu symptoms (3.63)
1,flu in adults (1.14),swine flu symptoms in adults (1.05),flu symptoms in adults (1.28),flu (2.18),flu (2.11)
2,swine flu symptoms in adults (0.94),flu symptoms in adults (0.99),winter flu (0.72),flu jab (-1.97),flu jab (-1.74)
3,flu jab pregnant (0.76),flu jab pregnant (0.74),pandemic flu (-0.67),flu symptoms in adults (1.36),swine flu nhs (-1.32)
4,winter flu (0.72),winter flu (0.72),flu symptoms (0.61),symptoms of swine flu (-1.24),flu in adults (1.21)
5,sainsburys flu jab (-0.61),sainsburys flu jab (-0.66),flu jab pregnant (0.60),swine flu nhs (-1.15),flu symptoms in adults (1.10)
6,should i get a flu shot (0.60),pandemic flu (-0.64),flu virus (0.54),flu in adults (1.09),swine flu news (1.07)
7,swine flu news (0.57),flu jab nhs (0.54),man flu (0.47),pregnancy flu (0.94),pregnancy flu (1.07)
8,flu symptoms (0.55),swine flu news (0.52),flu contagious period (0.46),pandemic flu (-0.93),australian flu (-0.99)
9,pandemic flu (-0.53),influenza (0.51),flu symptoms in children (0.46),swine flu news (0.85),sickness (-0.94)
10,pregnancy flu (0.52),symptoms of the swine flu (-0.51),pregnancy flu (0.45),sickness bug (-0.82),swine flu (-0.92)
11,symptoms of the swine flu (-0.50),should i get a flu shot (0.50),flu jab (-0.44),influenza (0.74),pandemic flu (-0.80)
12,man flu (0.50),pregnancy flu (0.50),influenza symptoms (0.43),flu jab pregnant (0.73),swine flu jab (0.77)
13,influenza (0.49),boots flu jab (-0.46),flu jabs (-0.42),swine flu jab (0.70),symptoms of flu (-0.72)
14,flu jab nhs (0.48),man flu (0.44),flu symptoms last (0.42),flu jabs (-0.70),influenza (0.70)
15,influenza symptoms (0.48),influenza symptoms (0.42),influenza (0.42),flu virus (0.63),flu jab pregnant (0.64)
16,flu symptoms last (0.43),flu symptoms nhs (0.40),swine flu news (0.41),flu vaccination (-0.62),la influenza (-0.64)
17,swine flu symptoms in children (0.41),flu symptoms last (0.39),flu bug (0.40),flu advice (-0.60),flu nhs (0.63)
18,flu symptoms nhs (0.37),flu in children (0.37),sickness bug (-0.40),flu in children (0.55),flu jab nhs (0.61)
19,flu bug (0.37),flu jab pregnancy (0.36),flu injections (-0.39),flu spray (0.54),the flu (0.60)
20,flu contagious period (0.37),flu symptoms in children (0.36),flu jab nhs (0.38),symptoms of flu (-0.54),flue (0.57)
21,viral flu (0.36),flu injections (-0.33),flu in children (0.35),winter flu (0.51),sainsburys flu jab (-0.55)
22,flu jab pregnancy (0.36),flu virus (0.33),influenza b (0.34),flu jab nhs (0.51),flu in children (0.53)
23,what is the flu (-0.35),flu vaccine ingredients (-0.33),free flu vaccine (-0.32),symptoms of the swine flu (-0.50),flu advice (-0.52)
24,flu vaccine ingredients (-0.35),swine flu symptoms in children (0.33),flu treatment (0.32),flue (0.49),symptoms swine flu (-0.51)
25,flu in pregnancy (0.33),viral flu (0.33),viral flu (0.32),flu vaccine children (-0.49),a cough (-0.50)
