Flu Season,Period,MAE,MAPE,Pearson Corr
2014-2015,2014-09-01 - 2014-12-01,1.2868255401728537,26.731276326901714,0.837370021285763
2014-2015,2014-12-02 - 2015-01-20,2.7892077703455644,18.030910638484364,0.6554638788862158
2014-2015,2015-01-21 - 2015-08-31,1.155930944397863,26.813934614196988,0.9560648265859327
2015-2016,2015-09-01 - 2015-12-30,1.2562687893401077,25.367555792747687,0.620213397221376
2015-2016,2015-12-31 - 2016-03-24,2.8259839018339505,18.343488631444625,0.8013567546378777
2015-2016,2016-03-25 - 2016-08-31,0.8308256077799655,24.53959999776044,0.9768194016245926
2016-2017,2016-09-01 - 2016-12-01,1.318227273960289,27.102681536347976,0.8147972550724021
2016-2017,2016-12-02 - 2017-01-30,3.4960733134397857,28.82394770630941,0.8149355575229051
2016-2017,2017-01-31 - 2017-08-31,2.623774522319352,78.84217706832894,0.9593931835245044
2017-2018,2017-09-01 - 2017-12-30,1.9144220304756856,25.597283423758014,0.9676866551482541
2017-2018,2017-12-31 - 2018-02-08,8.15408236437837,19.354884720877514,0.6664228960228656
2017-2018,2018-02-09 - 2018-08-31,1.2262596798421197,36.767675746764326,0.9834110031524455
2018-2019,2018-09-01 - 2018-12-28,1.6330723189008878,35.17677615347063,0.8707725596363287
2018-2019,2018-12-29 - 2019-02-18,4.201570610906894,22.282728727352637,0.7369788180249403
2018-2019,2019-02-19 - 2019-08-31,1.8295587337906376,61.93561367861644,0.9460202113511397
