,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019
0,flu symptoms in adults (1.73),flu symptoms in adults (1.54),flu in adults (1.48),flu (4.98),flu symptoms (3.87)
1,flu in adults (1.54),flu in adults (1.51),flu symptoms in adults (1.43),flu symptoms (4.03),flu (3.38)
2,winter flu (0.71),winter flu (0.74),flu jab pregnant (0.74),swine flu (-2.67),flu jab (-2.42)
3,flu jab pregnant (0.67),sainsburys flu jab (-0.67),influenza (0.67),flu jab (-1.94),swine flu (-2.14)
4,sainsburys flu jab (-0.67),flu jab pregnant (0.66),sainsburys flu jab (-0.64),swine flu nhs (-1.92),swine flu nhs (-1.79)
5,flu contagious period (0.64),flu contagious period (0.51),pandemic flu (-0.55),symptoms of flu (-1.45),the flu (1.28)
6,flu symptoms last (0.57),pregnancy flu (0.50),flu virus (0.53),flu symptoms in adults (1.32),australian flu (-1.26)
7,flu symptoms (0.54),flu symptoms last (0.49),flu symptoms (0.53),pregnancy flu (1.11),flu in adults (1.16)
8,man flu (0.51),influenza (0.48),pregnancy flu (0.53),swine flu news (1.00),influenza (1.11)
9,influenza (0.47),flu jab nhs (0.46),winter flu (0.51),flu in adults (1.00),pregnancy flu (1.11)
10,influenza symptoms (0.46),influenza symptoms (0.46),flu symptoms last (0.48),influenza (0.98),swine flu news (1.09)
11,pregnancy flu (0.45),flu symptoms (0.45),flu jab nhs (0.45),flu jab pregnant (0.92),flu symptoms in adults (1.08)
12,flu bug (0.44),flu treatment (0.43),influenza symptoms (0.42),pandemic flu (-0.92),the swine flu (-0.96)
13,flu treatment (0.42),flu duration (0.40),flu contagious period (0.40),swine flu jab (0.87),symptoms of flu (-0.83)
14,flu jab nhs (0.41),man flu (0.39),man flu (0.39),flu in children (0.61),pandemic flu (-0.80)
15,viral flu (0.40),flu symptoms in children (0.39),flu symptoms in children (0.38),flu vaccination (-0.58),flu jab pregnant (0.78)
16,swine flu news (0.39),swine flu news (0.38),influenza b (0.35),flu advice (-0.56),flu jab nhs (0.71)
17,flu symptoms in children (0.38),viral flu (0.36),flu treatment (0.34),flu virus (0.54),swine flu jab (0.70)
18,flu duration (0.38),flu jab pregnancy (0.35),flu temperature (0.32),swine flu treatment (0.52),flu in children (0.62)
19,flu jab while pregnant (0.37),flu symptoms nhs (0.34),freshers flu (-0.32),flu symptoms in children (0.51),flu cold (-0.56)
20,flu symptoms nhs (0.36),flu bug (0.33),viral flu (0.31),flu jab nhs (0.50),flu jabs (-0.55)
21,free flu jabs (-0.36),influenza b (0.33),flu bug (0.31),la influenza (-0.49),the flu jab (-0.52)
22,flu jab pregnancy (0.34),pandemic flu (-0.32),flu symptoms nhs (0.28),flu jabs (-0.48),flu vaccination (-0.50)
23,what are the symptoms of flu (-0.33),free flu jabs (-0.31),swine flu news (0.27),private flu jab (-0.48),sainsburys flu jab (-0.48)
24,influenza b (0.33),flu virus (0.30),flu jab while pregnant (0.25),flu vaccine children (-0.45),swine flu latest (0.46)
25,freshers flu (-0.32),flu remedies (0.29),latest flu virus (0.24),man flu (0.39),swine flu treatment (0.46)
26,pandemic flu (-0.31),free flu jab (-0.29),free flu jabs (-0.24),uk flu (-0.39),what is the flu (-0.45)
