Flu Season,Period,MAE
2014-2015,2014-09-01 - 2014-12-01,1.0345018554347825
2014-2015,2014-12-02 - 2015-01-20,2.0982642799999995
2014-2015,2015-01-21 - 2015-08-31,0.8270552986547085
2015-2016,2015-09-01 - 2015-12-30,0.8287738123966941
2015-2016,2015-12-31 - 2016-03-24,3.1070485635294123
2015-2016,2016-03-25 - 2016-08-31,0.5795744924374999
2016-2017,2016-09-01 - 2016-12-01,0.6993912836956521
2016-2017,2016-12-02 - 2017-01-30,2.003497671666666
2016-2017,2017-01-31 - 2017-08-31,0.9811174525821594
2017-2018,2017-09-01 - 2017-12-30,1.4936165842975204
2017-2018,2017-12-31 - 2018-02-08,5.12863945
2017-2018,2018-02-09 - 2018-08-31,0.7887210647058822
2018-2019,2018-09-01 - 2018-12-28,0.6751935823529414
2018-2019,2018-12-29 - 2019-02-18,2.108662528846154
2018-2019,2019-02-19 - 2019-08-31,1.189674848969072
