,Query,Cosine Similarity
0,flu,1.0000001
1,influenza,0.8977134
2,the flu,0.8942288
3,severe flu,0.8869145
4,flu going around,0.87872976
5,flu infection,0.8765867
6,bad flu,0.86734724
7,have the flu,0.8629792
8,flu outbreak,0.85968065
9,flu 2018,0.85444206
10,flu cold,0.85393465
11,viral flu,0.8525231
12,flu a,0.8469634
13,new flu,0.8448974
14,treat flu,0.843123
15,flu bug,0.8431161
16,flu virus,0.8409974
17,having the flu,0.8389545
18,uk flu,0.83894193
19,flu epidemic,0.83690506
20,aussie flu,0.8368335
21,latest flu,0.8353932
22,got flu,0.83339685
23,australian flu,0.83317226
24,fever flu,0.8325889
25,24 hour flu,0.826494
26,google flu,0.8251287
27,flu cough,0.8228326
28,flu season,0.8207717
29,flu wiki,0.8202729
30,common flu,0.8187672
31,cure flu,0.81817913
32,man flu,0.816699
33,flu advice,0.8154564
34,flu or covid,0.8149854
35,flu complications,0.81416786
36,seasonal flu,0.8137099
37,mild flu,0.81254816
38,cdc flu,0.81133914
39,flu signs,0.8101453
40,flu jokes,0.8092914
41,pandemic flu,0.8089015
42,flu like,0.80883354
43,flu trends,0.8086276
44,flu nhs,0.8076226
45,flu outbreaks,0.8061282
46,flu death,0.8058285
47,influenza pandemic,0.804576
48,flu recovery,0.80287623
49,flu diarrhea,0.8017159
50,get rid of flu,0.80154884
51,flu test,0.80097574
52,flu game,0.80070794
53,swin flu,0.79993916
54,flu effects,0.79883194
55,flu prevention,0.79854536
56,treating flu,0.79754853
57,flu pain,0.7966706
58,flu 2017 uk,0.7917665
59,stomach flu,0.7906698
60,flu symtoms,0.7902572
61,flu 2018 uk,0.78987217
62,flu london,0.7898017
63,flu statistics,0.7890492
64,signs of flu,0.78848994
65,influenza virus,0.78832185
66,flu symptoms,0.78804153
67,what is the flu,0.7873168
68,type a flu,0.7870835
69,baby flu,0.7869927
70,flu relief,0.78681517
71,what is flu,0.7865291
72,winter flu,0.78652334
73,i have flu,0.7862742
74,nasal flu,0.7857708
75,flu medicine,0.7854215
76,flu like virus,0.78372306
77,flu contagious,0.7834561
78,flu update,0.78277296
79,news flu,0.7821579
80,summer flu,0.78206265
81,flu clinic,0.7816489
82,flu deaths,0.7802347
83,pregnant flu,0.7801499
84,the spanish flu,0.7791469
85,flu meme,0.7788131
86,flu in uk,0.77823126
87,the flu symptoms,0.77757347
88,flu mexico,0.7773976
89,flu and diarrhea,0.7772851
90,flu in adults,0.77470225
91,signs of the flu,0.7728339
92,pregnancy flu,0.7717993
93,flu aches,0.7715279
94,flu definition,0.7711698
95,flu season uk,0.771036
96,flu treatment,0.7701195
97,flu in children,0.76986855
98,spanish flu,0.76976275
99,flu and cough,0.7695832
100,asian flu,0.76901317
101,child flu,0.7679225
102,flu symptom,0.7676619
103,tummy flu,0.7672434
104,cold and flu,0.76692474
105,flu or coronavirus,0.76687735
106,flu last,0.7665784
107,flu or cold or covid,0.7657435
108,flu children,0.7653091
109,intestinal flu,0.7649237
110,flu injection,0.7643322
111,cure for flu,0.7641759
112,recover from flu,0.7639973
113,flu duration,0.76263154
114,types of flu,0.76185507
115,pregnancy and flu,0.7614919
116,influenza a,0.76010317
117,flu and pneumonia,0.75934005
118,swine flu,0.75929904
119,do i have flu,0.75904113
120,flu symptons,0.75833446
121,flu vaccines,0.758095
122,flu remedy,0.7579665
123,recovering from flu,0.7576622
124,flu vaccine,0.7573069
125,flu symptoms 2019,0.75534827
126,cold or flu,0.7551264
127,cold flu or covid,0.7538783
128,flu immunisation,0.7526665
129,flu jab,0.7523815
130,have i got flu,0.7516725
