,Query,Cosine Similarity
0,flu,0.79700977
1,influenza,0.7555399
2,treat flu,0.7473306
3,flu infection,0.7379484
4,flu nhs,0.7374299
5,flu going around,0.725466
6,cure flu,0.7233183
7,flu cold,0.7216784
8,flu outbreak,0.7216038
9,treating flu,0.7211789
10,have the flu,0.7210978
11,flu advice,0.72102606
12,severe flu,0.71871597
13,flu medicine,0.7146545
14,uk flu,0.7140822
15,get rid of flu,0.7140173
16,flu prevention,0.7119367
17,flu 2018,0.71073395
18,flu relief,0.70766526
19,the flu,0.7038361
20,flu virus,0.70340073
21,flu treatment,0.7029142
22,flu remedy,0.7026042
23,flu bug,0.70229775
24,new flu,0.70226794
25,flu vaccine,0.7003614
26,flu vaccines,0.6986021
27,viral flu,0.69788575
28,pregnant flu,0.6968475
29,flu recovery,0.69644743
30,flu epidemic,0.6937374
31,latest flu,0.6906717
32,flu clinic,0.688185
33,flu in uk,0.6879051
34,bad flu,0.68780243
35,flu wiki,0.6875461
36,flu immunisation,0.6874482
37,australian flu,0.6872451
38,cure for flu,0.6868131
39,flu 2018 uk,0.68641394
40,flu cough,0.6848349
41,pregnancy flu,0.6838818
42,24 hour flu,0.6832962
43,flu a,0.6832237
44,flu 2017 uk,0.6821998
45,aussie flu,0.6821027
46,flu complications,0.68174475
47,common flu,0.68070704
48,flu symptoms nhs,0.6805447
49,baby flu,0.68045735
50,flu injection,0.6791776
51,flu season,0.6786131
52,cdc flu,0.67839015
53,flu in pregnancy,0.6780574
54,google flu,0.67783093
55,medicine for flu,0.6778194
56,flu statistics,0.67750233
57,influenza virus,0.6770909
58,influenza pandemic,0.6769632
59,best thing for flu,0.67639583
60,fever flu,0.676233
61,flu when pregnant,0.67590004
62,flu pain,0.67550755
63,flu in babies,0.67547697
64,seasonal flu,0.6753994
65,flu trends,0.6750878
66,flu update,0.6748239
67,flu vaccination,0.6742576
68,man flu,0.6736198
69,aussie flu nhs,0.67341185
70,pregnancy and flu,0.6730456
71,flu during pregnancy,0.67224085
72,having the flu,0.67172414
73,flu jokes,0.67170703
74,flu while pregnant,0.6714844
75,flu symtoms,0.6714147
76,mild flu,0.67046833
77,flu in children,0.6694343
78,flu medicine uk,0.66907746
79,flu season uk,0.66902125
80,flu remedies,0.66875434
81,flu test,0.6684163
82,flu london,0.6683669
83,what is the flu,0.66802204
84,flu symptoms,0.6678339
85,flu shot,0.66768837
86,flu effects,0.6674187
87,flu game,0.6673002
88,best flu medicine,0.6671827
89,flu tablets,0.6666167
90,what is flu,0.66656065
91,got flu,0.66610575
92,flu signs,0.6652993
93,signs of flu,0.66493773
94,type a flu,0.66427964
95,flu outbreaks,0.66420037
96,australian flu nhs,0.66407543
97,recover from flu,0.663094
98,flu vaccine nhs,0.66295403
99,the flu vaccine,0.6592656
100,nasal flu,0.65898395
101,recovering from flu,0.65878844
102,flu children,0.6580636
103,flu in adults,0.6579735
104,signs of the flu,0.6579295
105,best cure for flu,0.65704083
106,best medicine for flu,0.6562404
107,influenza treatment,0.65591323
108,flu symptons,0.6557789
109,flu contagious,0.6543029
110,flu jab,0.6540373
111,influenza vaccine,0.65399134
112,get flu jab,0.6538593
113,flu jabs,0.65385586
114,flu diarrhea,0.6537584
115,flu deaths,0.6514371
116,flu definition,0.65127873
117,swin flu,0.6511891
118,the flu symptoms,0.65108716
119,aussie flu uk,0.650932
120,flu antibiotics,0.65085125
121,flu death,0.6503467
122,flu symptom,0.6501749
123,flu injections,0.64911807
124,influenza b,0.64890563
125,flu tracker,0.6486075
126,flu duration,0.64853066
127,best way to get rid of flu,0.6484403
128,recovery from flu,0.6479213
129,i have flu,0.6476566
130,flu like virus,0.64739084
131,pandemic flu,0.6473233
132,flu vaccinations,0.6470435
133,flu symptoms uk,0.6470058
134,types of flu,0.64683515
135,nhs direct flu,0.64671737
136,what medicine for flu,0.646478
137,flu aches,0.646203
138,flu like,0.64601016
139,food for flu,0.6459745
140,flu remedies uk,0.645383
141,flu and cough,0.64530116
142,winter flu,0.6452898
143,flu vaccine uk,0.6445319
144,flu meme,0.64416534
145,child flu,0.6440701
146,flu spray,0.6434874
147,symptoms of flu,0.643274
148,child with flu,0.64249015
149,symptom of flu,0.6422676
150,flu or covid,0.6416148
151,flu symptoms 2019,0.641043
152,influenza a,0.6406306
153,how to prevent flu,0.6401014
154,symptoms of the flu,0.6397465
155,the flu jab,0.63951844
156,news flu,0.63948125
157,flu jab nhs,0.6377052
158,best flu medicine uk,0.63763833
159,flu incubation,0.6375823
160,flu in early pregnancy,0.6373123
161,nhs child flu,0.6370595
162,flu mask,0.6359637
163,summer flu,0.6358764
164,how to get rid of flu,0.63558
165,treatment for flu,0.6349878
166,influenza symptoms,0.6336749
167,influenza vaccination,0.63250136
168,flu and diarrhea,0.6324918
169,best flu remedies,0.63164425
170,flu jab uk,0.6314904
171,medication for flu,0.6313785
172,how to cure flu,0.6310179
173,flu camp,0.63024
174,tummy flu,0.6297041
175,flu jab 2021,0.62933236
176,flu in toddlers,0.62915677
177,flu symptom checker,0.62889177
178,how to get rid of a flu,0.6287005
179,do i have flu,0.6283026
180,flu and pneumonia,0.62785554
181,how to get rid of the flu,0.6278484
182,flu vaccine baby,0.62750566
183,remedies for flu,0.6271436
184,flu jab 2018,0.627119
185,stomach flu,0.6268993
186,flu last,0.6267268
187,flu symptoms 2017,0.6263001
188,how to treat flu,0.625141
189,flu mexico,0.6250518
190,flu headache,0.6250465
191,flu symptoms 2018,0.624709
192,what is influenza,0.6238114
193,the spanish flu,0.6235454
194,flu vaccine pregnancy,0.62337154
195,stomach flu nhs,0.6228826
196,latest flu virus,0.6223924
197,best remedies for flu,0.6217474
198,flu jab 2017,0.6213876
199,swine influenza,0.6211083
200,stages of flu,0.62065536
201,swine flu,0.62054
202,flu vaccine 2019,0.6199591
203,flu jab 2016,0.6195405
204,how to cure the flu,0.61952025
205,have i got flu,0.6194445
206,book a flu jab,0.61913294
207,flu vaccine pregnant,0.6189127
208,flu jab 2020,0.61738074
209,asian flu,0.6169215
210,flu jab asda,0.61586267
211,do i have the flu,0.615856
212,cold and flu,0.61577445
213,la influenza,0.61569256
214,swine flu nhs,0.61527336
215,flu deaths 2019,0.61476374
216,flu symptoms child,0.6147607
217,baby flu jab,0.61472017
218,cold flu medicine,0.61431086
219,how to treat the flu,0.61429524
220,cold or flu nhs,0.6141645
221,intestinal flu,0.614031
222,what to take for flu,0.6125088
223,current flu virus,0.61234623
224,flu home remedies,0.6116608
225,flu symptoms 2016,0.6111058
226,flu deaths uk,0.6100321
227,after effects of flu,0.6099485
228,the flu shot,0.6084354
229,australian flu symptoms nhs,0.6080175
230,what are the symptoms of the flu,0.6079163
231,freshers flu,0.6072759
232,antibiotics for flu,0.60674864
233,is it flu or cold,0.60663617
234,spanish flu,0.60646755
235,how to recover from flu,0.606378
236,free flu vaccine,0.6058962
237,cold vs flu,0.604736
238,after the flu,0.60430926
239,flu temperature,0.6041818
240,the swine flu,0.60411906
241,early flu symptoms,0.6040761
242,flu jab child,0.6039984
243,flu map,0.60328704
244,free flu shots,0.6030917
245,what are the symptoms of flu,0.60297734
246,flu or coronavirus,0.6027581
247,spanish influenza,0.60200936
248,what are flu symptoms,0.6019774
249,how to get over flu,0.6017952
250,colds and flu,0.60159165
251,flu game 12,0.60136116
252,flu deaths 2020,0.6012818
253,flu or cold or covid,0.60074985
254,spanish flu pandemic,0.6006744
255,flu like symptoms,0.6000527
256,google flu trends,0.60003173
257,flu vaccine 2018,0.5999949
258,free flu jab,0.5996496
259,winter flu jab,0.5995143
260,flu jab pregnant,0.5980597
261,man flu meme,0.59789956
262,flu vaccine 2017,0.5975497
263,child flu vaccine,0.59747076
264,flu after flu jab,0.59730816
265,home remedies for flu,0.59706193
266,book flu vaccine,0.5966282
267,flu jab pregnancy,0.5966091
268,flu vaccine for child,0.59608483
269,swine flu uk,0.59565496
270,live flu vaccine,0.594873
271,antivirals for flu,0.5945292
272,symptoms of influenza,0.5945075
273,influenza b virus,0.59430623
274,flu nasal spray,0.5940506
275,aussie flu symptoms nhs,0.59402543
276,dog flu,0.59395087
277,flu vaccine in pregnancy,0.5939154
278,antiviral for flu,0.59299576
279,how to get over the flu,0.59295297
280,flu symptoms in children,0.59245324
281,free flu jabs,0.5921865
282,book flu jab,0.5920697
283,cold or flu,0.59122634
284,child flu spray,0.5908442
285,flu vaccine 2020,0.59073025
286,how to get rid of flu fast,0.59066254
287,is flu contagious,0.59021926
288,cold flu or covid,0.590053
289,nasal flu vaccine,0.58990854
290,flu vaccine children,0.5895359
291,cough after flu,0.5893333
292,flu vaccine 2016,0.589089
293,flu vaccine 2018 uk,0.58895326
294,swine flu pandemic,0.58835506
295,i have a flu,0.5882759
296,flu vaccine 2017 uk,0.5882631
297,flu symptoms in adults,0.58797383
298,seasonal flu vaccine,0.5879578
299,flu side effects,0.58777535
300,flu vaccine for children,0.5872638
301,side effects of flu,0.5865085
302,when is flu season,0.5861213
303,flu vaccine pharmacy,0.58599675
304,sainsburys flu jab,0.58587813
305,flu deaths 2020 uk,0.5853842
306,bird flu,0.5853821
307,flu vaccine when pregnant,0.5853468
308,flu virus symptoms,0.585272
309,avian influenza,0.58511806
310,i have the flu,0.58460814
311,flu symptoms 2022,0.58426213
312,flu contagious period,0.5837438
313,private flu jab,0.5827861
314,about swine flu,0.58264184
315,flu vaccine for pregnant,0.58256555
316,natural remedies for flu,0.5820794
317,is the flu contagious,0.5817535
318,booking flu jab,0.58069927
319,baby swine flu,0.5801272
320,natural flu remedies,0.5801265
321,flu jab for child,0.5794138
322,flu jab while pregnant,0.5788734
323,flu symptoms last,0.57881045
324,influenza type a,0.5786736
325,pig flu,0.5786449
326,flu vaccine near me,0.5779012
327,flu jab in pregnancy,0.5777176
328,how long flu,0.5775701
329,flu jab near me,0.5767136
330,what is the flu vaccine,0.57655203
331,avian flu,0.5762018
332,antiviral drugs for flu,0.57598525
333,flu vaccine ingredients,0.5756383
334,flu jab for children,0.57471323
335,australian flu symptoms,0.5730654
336,do i have flu or cold,0.5729883
337,flu recovery time,0.57267445
338,uk flu deaths 2019,0.57245374
339,pharmacy flu jab,0.5717038
340,swine flu 2016,0.5716272
341,hong kong flu,0.5714284
342,flu jab reactions,0.57081383
343,flu jab with a cold,0.5699159
344,flu jab when pregnant,0.5698445
345,flu sore throat,0.5697589
346,spanish flu epidemic,0.5694635
347,swine flu cdc,0.56927425
348,do i have a cold or flu,0.56927204
349,reaction to flu jab,0.56911105
350,h1n1 flu,0.56805146
351,stomach flu contagious,0.567585
352,swine flu update,0.5672924
