,Query,Cosine Similarity
0,pregnancy flu,1.0
1,pregnant flu,0.98398304
2,flu during pregnancy,0.938626
3,flu in pregnancy,0.9348349
4,flu when pregnant,0.93424165
5,flu while pregnant,0.91540325
6,pregnancy and flu,0.90475357
7,flu in early pregnancy,0.8979167
8,baby flu,0.79957366
9,flu like symptoms pregnant,0.79425347
10,flu jab pregnant,0.79325217
11,flu jab pregnancy,0.7928353
12,flu vaccine pregnancy,0.78250575
13,flu jab in pregnancy,0.77802134
14,flu vaccine pregnant,0.7747196
15,flu,0.77179945
16,flu jab while pregnant,0.7716572
17,flu jab when pregnant,0.7700407
18,flu vaccine in pregnancy,0.75304204
19,flu vaccine for pregnant,0.7495612
20,flu vaccine when pregnant,0.7455443
21,flu in babies,0.74326026
22,viral flu,0.72440577
23,influenza,0.7143862
24,flu going around,0.7119776
25,flu outbreak,0.70772874
26,severe flu,0.69996285
27,flu infection,0.6958884
28,child flu,0.6950493
29,the flu,0.69407713
30,sickness during pregnancy,0.69390583
31,aussie flu,0.693164
32,uk flu,0.69156146
33,australian flu,0.6905548
34,flu virus,0.6904087
35,bad flu,0.6903039
36,seasonal flu,0.68985283
37,flu bug,0.6895204
38,fever while pregnant,0.68779886
39,fever during pregnancy,0.6866861
40,baby swine flu,0.68646866
41,fever in pregnancy,0.68593585
42,common flu,0.6856954
43,news flu,0.6807458
44,fever pregnancy,0.68026197
45,fever flu,0.67543095
46,cdc flu,0.67396915
47,have the flu,0.6738281
48,latest flu,0.6730019
49,fever and pregnancy,0.6717811
50,tummy flu,0.67067057
51,new flu,0.66915774
52,stomach flu,0.66878444
53,google flu,0.6665181
54,flu vaccine baby,0.66575986
55,influenza virus,0.6650486
56,flu epidemic,0.6609463
57,baby flu jab,0.66014844
58,having the flu,0.658794
59,flu season,0.65800107
60,flu outbreaks,0.65525484
61,mild flu,0.6541674
62,flu or covid,0.65304434
63,hay fever in pregnancy,0.65292335
64,flu 2018,0.6528199
65,flu diarrhea,0.650844
66,hay fever pregnancy,0.6508342
67,can you take cold and flu when pregnant,0.6492343
68,flu in toddlers,0.6485487
69,flu complications,0.6479137
70,pandemic flu,0.6468222
71,summer flu,0.6459452
72,treat flu,0.6458248
73,nhs child flu,0.6455376
74,intestinal flu,0.64493895
75,flu in children,0.6445534
76,influenza pandemic,0.643869
77,spanish flu,0.6436259
78,flu season uk,0.6430328
79,the spanish flu,0.64217365
80,asian flu,0.6418519
81,flu incubation,0.64119196
82,24 hour flu,0.6404884
83,flu trends,0.63896525
84,aussie flu uk,0.63810086
85,flu like virus,0.637557
86,flu children,0.6374269
87,flu prevention,0.6358495
88,flu in uk,0.6353532
89,flu symtoms,0.63517404
90,flu mexico,0.63408166
91,flu cold,0.63365513
92,nasal flu,0.63361984
93,flu 2018 uk,0.6327256
94,pregnancy,0.632419
95,flu a,0.63226056
96,flu contagious,0.63192415
97,flu 2017 uk,0.63158345
98,what is the flu,0.63091725
99,diarrhea during pregnancy,0.629299
100,diarrhea while pregnant,0.6291413
101,swine flu,0.62878543
102,flu test,0.6285503
103,flu nhs,0.628412
104,what is flu,0.6263108
105,flu advice,0.6260054
106,types of flu,0.6258826
107,flu wiki,0.6244651
108,flu and diarrhea,0.62445235
109,flu cough,0.6220727
110,covid while pregnant,0.62171924
111,child with flu,0.62160933
112,latest flu virus,0.6212894
113,winter flu,0.6211906
114,flu update,0.620672
115,got flu,0.61923254
116,flu signs,0.61768365
117,type a flu,0.616275
118,flu vaccines,0.6152003
119,stomach flu contagious,0.6149725
120,pregnancy rash,0.61466205
121,cure flu,0.6145761
122,flu vaccine,0.6143811
123,cold and flu tablets when pregnant,0.6143583
124,the swine flu,0.6121176
125,signs of flu,0.6115935
126,flu definition,0.610985
127,flu symptons,0.6108308
128,flu or coronavirus,0.6098547
129,flu jokes,0.60922384
130,man flu,0.6092216
131,flu effects,0.60870266
132,flu tracker,0.60791075
133,spanish influenza,0.60692954
134,current flu virus,0.6056909
135,flu jabs,0.60535854
136,flu symptoms 2019,0.6050792
137,flu statistics,0.604766
138,bird flu,0.6044588
139,early flu symptoms,0.6034006
140,flu london,0.6033904
141,treating flu,0.60248196
142,flu clinic,0.6024718
